Device: cpu  λs=[0.05, 0.1, 0.15, 0.25, 0.4, 0.55]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_deep4x512.pt: hidden=[512, 512, 512, 512], 1,195,018 params, frozen.

── λ=0.05 seed=0 ── pruner params: 711,429
  [λ=0.05 seed=0] step  100 ep1 | loss +0.055 | orig 0.996 pruned 0.992 | pruned% h1=  0.2 h2=  0.0 h3= 18.6 h4= 15.4 (avg=  8.5)
  [λ=0.05 seed=0] step  200 ep1 | loss +0.041 | orig 0.996 pruned 0.996 | pruned% h1=  1.4 h2=  0.2 h3= 24.2 h4= 46.7 (avg= 18.1)
  [λ=0.05 seed=0] step  300 ep2 | loss +0.042 | orig 1.000 pruned 1.000 | pruned% h1=  8.8 h2=  0.4 h3= 29.3 h4= 56.8 (avg= 23.8)
  [λ=0.05 seed=0] step  400 ep2 | loss +0.042 | orig 0.996 pruned 0.996 | pruned% h1=  9.0 h2=  0.2 h3= 37.5 h4= 59.6 (avg= 26.6)
  [λ=0.05 seed=0] step  500 ep3 | loss +0.035 | orig 0.992 pruned 0.992 | pruned% h1= 12.9 h2=  0.0 h3= 43.4 h4= 60.4 (avg= 29.2)
  [λ=0.05 seed=0] step  600 ep3 | loss +0.039 | orig 0.992 pruned 0.996 | pruned% h1= 13.1 h2=  0.0 h3= 47.7 h4= 60.7 (avg= 30.4)
  [λ=0.05 seed=0] step  700 ep3 | loss +0.031 | orig 0.992 pruned 0.996 | pruned% h1= 17.8 h2=  0.0 h3= 49.4 h4= 60.7 (avg= 32.0)
  [λ=0.05 seed=0] step  800 ep4 | loss +0.022 | orig 0.992 pruned 0.996 | pruned% h1= 20.9 h2=  0.0 h3= 49.8 h4= 60.7 (avg= 32.9)
  [λ=0.05 seed=0] step  900 ep4 | loss +0.045 | orig 0.992 pruned 0.992 | pruned% h1= 29.7 h2=  0.0 h3= 50.2 h4= 60.9 (avg= 35.2)
  [λ=0.05 seed=0] step 1000 ep5 | loss +0.039 | orig 0.996 pruned 0.992 | pruned% h1= 31.6 h2=  0.0 h3= 50.6 h4= 60.9 (avg= 35.8)
  [λ=0.05 seed=0] step 1100 ep5 | loss +0.040 | orig 0.996 pruned 1.000 | pruned% h1= 36.1 h2=  0.0 h3= 50.6 h4= 60.9 (avg= 36.9)
  [λ=0.05 seed=0] step 1200 ep6 | loss +0.046 | orig 0.992 pruned 0.988 | pruned% h1= 38.7 h2=  0.0 h3= 50.8 h4= 60.9 (avg= 37.6)
  [λ=0.05 seed=0] step 1300 ep6 | loss +0.041 | orig 0.996 pruned 0.996 | pruned% h1= 40.4 h2=  0.0 h3= 50.8 h4= 60.9 (avg= 38.0)
  [λ=0.05 seed=0] step 1400 ep6 | loss +0.047 | orig 1.000 pruned 0.996 | pruned% h1= 41.0 h2=  0.0 h3= 50.8 h4= 60.9 (avg= 38.2)
