Device: cpu  λs=[0.04, 0.06, 0.08, 0.1, 0.15, 0.2]  seeds=[0, 1, 2]  epochs=15
Loaded MNIST MLP — 1,863,690 params, frozen.

── λ=0.04 seed=0 ── pruner params: 612,611
  [λ=0.04 seed=0] step  100 ep1 | loss +0.015 | orig 0.992 pruned 0.992 | pruned% h1= 20.5 h2= 44.3 (avg= 32.4)
  [λ=0.04 seed=0] step  200 ep1 | loss +0.035 | orig 0.992 pruned 0.996 | pruned% h1=  7.4 h2= 58.1 (avg= 32.8)
  [λ=0.04 seed=0] step  300 ep2 | loss +0.024 | orig 0.992 pruned 0.992 | pruned% h1= 21.8 h2= 53.1 (avg= 37.5)
  [λ=0.04 seed=0] step  400 ep2 | loss +0.029 | orig 0.996 pruned 1.000 | pruned% h1= 37.6 h2= 54.7 (avg= 46.1)
  [λ=0.04 seed=0] step  500 ep3 | loss +0.015 | orig 0.992 pruned 0.996 | pruned% h1= 49.2 h2= 59.6 (avg= 54.4)
  [λ=0.04 seed=0] step  600 ep3 | loss +0.029 | orig 0.992 pruned 0.996 | pruned% h1= 55.0 h2= 60.4 (avg= 57.7)
  [λ=0.04 seed=0] step  700 ep3 | loss +0.024 | orig 0.992 pruned 0.996 | pruned% h1= 55.6 h2= 60.7 (avg= 58.2)
  [λ=0.04 seed=0] step  800 ep4 | loss +0.028 | orig 0.988 pruned 0.996 | pruned% h1= 59.8 h2= 60.9 (avg= 60.4)
  [λ=0.04 seed=0] step  900 ep4 | loss +0.031 | orig 0.996 pruned 0.996 | pruned% h1= 59.5 h2= 60.9 (avg= 60.2)
  [λ=0.04 seed=0] step 1000 ep5 | loss +0.025 | orig 0.992 pruned 0.996 | pruned% h1= 60.9 h2= 60.9 (avg= 60.9)
  [λ=0.04 seed=0] step 1100 ep5 | loss +0.031 | orig 0.996 pruned 0.996 | pruned% h1= 62.6 h2= 61.0 (avg= 61.8)
  [λ=0.04 seed=0] step 1200 ep6 | loss +0.048 | orig 0.992 pruned 0.984 | pruned% h1= 62.6 h2= 61.0 (avg= 61.8)
  [λ=0.04 seed=0] step 1300 ep6 | loss +0.030 | orig 0.992 pruned 0.992 | pruned% h1= 63.1 h2= 61.0 (avg= 62.1)
  [λ=0.04 seed=0] step 1400 ep6 | loss +0.034 | orig 1.000 pruned 0.996 | pruned% h1= 63.6 h2= 61.0 (avg= 62.3)
  [λ=0.04 seed=0] step 1500 ep7 | loss +0.040 | orig 1.000 pruned 0.992 | pruned% h1= 63.7 h2= 61.0 (avg= 62.4)
  [λ=0.04 seed=0] step 1600 ep7 | loss +0.031 | orig 0.996 pruned 0.996 | pruned% h1= 64.2 h2= 61.0 (avg= 62.6)
  [λ=0.04 seed=0] step 1700 ep8 | loss +0.039 | orig 0.996 pruned 0.992 | pruned% h1= 64.2 h2= 61.0 (avg= 62.6)
  [λ=0.04 seed=0] step 1800 ep8 | loss +0.035 | orig 0.996 pruned 0.992 | pruned% h1= 64.6 h2= 61.0 (avg= 62.8)
  [λ=0.04 seed=0] step 1900 ep9 | loss +0.032 | orig 1.000 pruned 1.000 | pruned% h1= 64.7 h2= 61.1 (avg= 62.9)
  [λ=0.04 seed=0] step 2000 ep9 | loss +0.024 | orig 0.996 pruned 1.000 | pruned% h1= 64.8 h2= 61.2 (avg= 63.0)
  [λ=0.04 seed=0] step 2100 ep9 | loss +0.016 | orig 0.984 pruned 1.000 | pruned% h1= 64.9 h2= 61.3 (avg= 63.1)
  [λ=0.04 seed=0] step 2200 ep10 | loss +0.028 | orig 0.996 pruned 0.996 | pruned% h1= 65.2 h2= 61.3 (avg= 63.3)
  [λ=0.04 seed=0] step 2300 ep10 | loss +0.028 | orig 0.988 pruned 0.992 | pruned% h1= 65.3 h2= 61.3 (avg= 63.3)
  [λ=0.04 seed=0] step 2400 ep11 | loss +0.027 | orig 1.000 pruned 1.000 | pruned% h1= 65.4 h2= 61.3 (avg= 63.4)
  [λ=0.04 seed=0] step 2500 ep11 | loss +0.038 | orig 0.996 pruned 0.988 | pruned% h1= 65.6 h2= 61.3 (avg= 63.5)
  [λ=0.04 seed=0] step 2600 ep12 | loss +0.023 | orig 1.000 pruned 1.000 | pruned% h1= 65.9 h2= 61.3 (avg= 63.6)
  [λ=0.04 seed=0] step 2700 ep12 | loss +0.046 | orig 1.000 pruned 0.992 | pruned% h1= 65.9 h2= 61.3 (avg= 63.6)
  [λ=0.04 seed=0] step 2800 ep12 | loss +0.019 | orig 0.996 pruned 0.996 | pruned% h1= 65.9 h2= 61.3 (avg= 63.6)
  [λ=0.04 seed=0] step 2900 ep13 | loss +0.022 | orig 0.992 pruned 0.992 | pruned% h1= 66.0 h2= 61.4 (avg= 63.7)
  [λ=0.04 seed=0] step 3000 ep13 | loss +0.038 | orig 1.000 pruned 0.992 | pruned% h1= 66.1 h2= 61.4 (avg= 63.8)
  [λ=0.04 seed=0] step 3100 ep14 | loss +0.018 | orig 0.988 pruned 0.988 | pruned% h1= 66.1 h2= 61.4 (avg= 63.8)
  [λ=0.04 seed=0] step 3200 ep14 | loss +0.039 | orig 0.996 pruned 0.996 | pruned% h1= 66.1 h2= 61.4 (avg= 63.8)
  [λ=0.04 seed=0] step 3300 ep15 | loss +0.031 | orig 0.996 pruned 1.000 | pruned% h1= 66.1 h2= 61.4 (avg= 63.8)
  [λ=0.04 seed=0] step 3400 ep15 | loss +0.020 | orig 0.992 pruned 1.000 | pruned% h1= 66.2 h2= 61.4 (avg= 63.8)
  [λ=0.04 seed=0] step 3500 ep15 | loss +0.039 | orig 1.000 pruned 0.996 | pruned% h1= 66.2 h2= 61.4 (avg= 63.8)
  → [λ=0.04 seed=0] final keep 0.362  pruned 63.82%  | per-layer kept [346, 395]/[1024, 1024]  | orig→pruned test acc 98.06→98.00%  | 102s

── λ=0.04 seed=1 ── pruner params: 612,611
  [λ=0.04 seed=1] step  100 ep1 | loss +0.034 | orig 1.000 pruned 1.000 | pruned% h1=  1.3 h2= 49.0 (avg= 25.1)
  [λ=0.04 seed=1] step  200 ep1 | loss +0.033 | orig 0.996 pruned 0.992 | pruned% h1=  5.3 h2= 57.4 (avg= 31.3)
