Device: cpu  λs=[0.01, 0.02, 0.03, 0.05, 0.08, 0.12]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_wide2048.pt: hidden=[2048], 1,628,170 params, frozen.

── λ=0.01 seed=0 ── pruner params: 415,746
  [λ=0.01 seed=0] step  100 ep1 | loss +0.025 | orig 0.996 pruned 0.984 | pruned% h1= 14.7 (avg= 14.7)
  [λ=0.01 seed=0] step  200 ep1 | loss +0.011 | orig 1.000 pruned 1.000 | pruned% h1= 17.4 (avg= 17.4)
  [λ=0.01 seed=0] step  300 ep2 | loss +0.002 | orig 0.996 pruned 1.000 | pruned% h1= 33.0 (avg= 33.0)
  [λ=0.01 seed=0] step  400 ep2 | loss +0.015 | orig 0.996 pruned 0.996 | pruned% h1= 31.5 (avg= 31.5)
  [λ=0.01 seed=0] step  500 ep3 | loss +0.002 | orig 0.992 pruned 1.000 | pruned% h1= 34.8 (avg= 34.8)
  [λ=0.01 seed=0] step  600 ep3 | loss +0.015 | orig 1.000 pruned 1.000 | pruned% h1= 47.6 (avg= 47.6)
  [λ=0.01 seed=0] step  700 ep3 | loss +0.008 | orig 0.996 pruned 0.996 | pruned% h1= 49.2 (avg= 49.2)
  [λ=0.01 seed=0] step  800 ep4 | loss +0.010 | orig 0.996 pruned 0.996 | pruned% h1= 55.2 (avg= 55.2)
  [λ=0.01 seed=0] step  900 ep4 | loss +0.012 | orig 0.996 pruned 0.996 | pruned% h1= 54.7 (avg= 54.7)
  [λ=0.01 seed=0] step 1000 ep5 | loss +0.020 | orig 0.996 pruned 0.996 | pruned% h1= 54.5 (avg= 54.5)
  [λ=0.01 seed=0] step 1100 ep5 | loss +0.005 | orig 1.000 pruned 1.000 | pruned% h1= 61.1 (avg= 61.1)
  [λ=0.01 seed=0] step 1200 ep6 | loss +0.010 | orig 0.996 pruned 0.996 | pruned% h1= 62.0 (avg= 62.0)
  [λ=0.01 seed=0] step 1300 ep6 | loss +0.010 | orig 1.000 pruned 0.996 | pruned% h1= 60.4 (avg= 60.4)
  [λ=0.01 seed=0] step 1400 ep6 | loss +0.013 | orig 1.000 pruned 0.996 | pruned% h1= 62.5 (avg= 62.5)
  [λ=0.01 seed=0] step 1500 ep7 | loss +0.005 | orig 0.992 pruned 1.000 | pruned% h1= 64.2 (avg= 64.2)
  [λ=0.01 seed=0] step 1600 ep7 | loss +0.005 | orig 0.992 pruned 0.996 | pruned% h1= 62.1 (avg= 62.1)
  [λ=0.01 seed=0] step 1700 ep8 | loss +0.014 | orig 0.996 pruned 0.996 | pruned% h1= 63.9 (avg= 63.9)
  [λ=0.01 seed=0] step 1800 ep8 | loss +0.011 | orig 0.992 pruned 0.996 | pruned% h1= 64.6 (avg= 64.6)
  [λ=0.01 seed=0] step 1900 ep9 | loss +0.010 | orig 1.000 pruned 1.000 | pruned% h1= 64.9 (avg= 64.9)
  [λ=0.01 seed=0] step 2000 ep9 | loss +0.004 | orig 0.996 pruned 0.996 | pruned% h1= 64.9 (avg= 64.9)
  [λ=0.01 seed=0] step 2100 ep9 | loss +0.014 | orig 1.000 pruned 1.000 | pruned% h1= 65.7 (avg= 65.7)
  [λ=0.01 seed=0] step 2200 ep10 | loss +0.012 | orig 1.000 pruned 0.996 | pruned% h1= 66.0 (avg= 66.0)
  [λ=0.01 seed=0] step 2300 ep10 | loss +0.009 | orig 1.000 pruned 1.000 | pruned% h1= 65.7 (avg= 65.7)
  [λ=0.01 seed=0] step 2400 ep11 | loss +0.012 | orig 1.000 pruned 0.996 | pruned% h1= 66.4 (avg= 66.4)
  [λ=0.01 seed=0] step 2500 ep11 | loss +0.009 | orig 1.000 pruned 1.000 | pruned% h1= 65.8 (avg= 65.8)
  [λ=0.01 seed=0] step 2600 ep12 | loss +0.011 | orig 0.996 pruned 1.000 | pruned% h1= 66.6 (avg= 66.6)
  [λ=0.01 seed=0] step 2700 ep12 | loss +0.014 | orig 1.000 pruned 1.000 | pruned% h1= 67.2 (avg= 67.2)
  [λ=0.01 seed=0] step 2800 ep12 | loss +0.009 | orig 0.996 pruned 1.000 | pruned% h1= 67.6 (avg= 67.6)
  [λ=0.01 seed=0] step 2900 ep13 | loss -0.008 | orig 0.996 pruned 0.996 | pruned% h1= 68.1 (avg= 68.1)
  [λ=0.01 seed=0] step 3000 ep13 | loss +0.004 | orig 0.996 pruned 1.000 | pruned% h1= 68.3 (avg= 68.3)
  [λ=0.01 seed=0] step 3100 ep14 | loss +0.009 | orig 1.000 pruned 1.000 | pruned% h1= 68.8 (avg= 68.8)
  [λ=0.01 seed=0] step 3200 ep14 | loss +0.009 | orig 1.000 pruned 1.000 | pruned% h1= 68.9 (avg= 68.9)
  [λ=0.01 seed=0] step 3300 ep15 | loss +0.013 | orig 0.996 pruned 0.996 | pruned% h1= 68.9 (avg= 68.9)
  [λ=0.01 seed=0] step 3400 ep15 | loss +0.007 | orig 0.996 pruned 1.000 | pruned% h1= 69.3 (avg= 69.3)
  [λ=0.01 seed=0] step 3500 ep15 | loss +0.006 | orig 0.996 pruned 0.996 | pruned% h1= 69.1 (avg= 69.1)
  → [λ=0.01 seed=0] final keep 0.307  pruned 69.29%  | per-layer kept [629]/[2048]  | orig→pruned test acc 98.16→98.27%  | 66s

── λ=0.01 seed=1 ── pruner params: 415,746
  [λ=0.01 seed=1] step  100 ep1 | loss +0.012 | orig 1.000 pruned 0.996 | pruned% h1=  4.5 (avg=  4.5)
  [λ=0.01 seed=1] step  200 ep1 | loss +0.006 | orig 0.992 pruned 0.996 | pruned% h1= 16.4 (avg= 16.4)
  [λ=0.01 seed=1] step  300 ep2 | loss +0.011 | orig 0.996 pruned 1.000 | pruned% h1= 37.5 (avg= 37.5)
  [λ=0.01 seed=1] step  400 ep2 | loss +0.023 | orig 0.992 pruned 0.980 | pruned% h1= 40.8 (avg= 40.8)
  [λ=0.01 seed=1] step  500 ep3 | loss +0.009 | orig 1.000 pruned 1.000 | pruned% h1= 37.4 (avg= 37.4)
  [λ=0.01 seed=1] step  600 ep3 | loss +0.019 | orig 1.000 pruned 0.996 | pruned% h1= 43.8 (avg= 43.8)
  [λ=0.01 seed=1] step  700 ep3 | loss +0.007 | orig 1.000 pruned 1.000 | pruned% h1= 49.1 (avg= 49.1)
  [λ=0.01 seed=1] step  800 ep4 | loss +0.003 | orig 0.992 pruned 0.996 | pruned% h1= 45.7 (avg= 45.7)
  [λ=0.01 seed=1] step  900 ep4 | loss +0.007 | orig 1.000 pruned 1.000 | pruned% h1= 56.6 (avg= 56.6)
  [λ=0.01 seed=1] step 1000 ep5 | loss +0.006 | orig 0.996 pruned 1.000 | pruned% h1= 56.7 (avg= 56.7)
  [λ=0.01 seed=1] step 1100 ep5 | loss +0.005 | orig 0.996 pruned 1.000 | pruned% h1= 60.0 (avg= 60.0)
  [λ=0.01 seed=1] step 1200 ep6 | loss +0.005 | orig 0.996 pruned 1.000 | pruned% h1= 57.7 (avg= 57.7)
  [λ=0.01 seed=1] step 1300 ep6 | loss -0.009 | orig 0.988 pruned 1.000 | pruned% h1= 60.4 (avg= 60.4)
  [λ=0.01 seed=1] step 1400 ep6 | loss +0.008 | orig 1.000 pruned 1.000 | pruned% h1= 61.6 (avg= 61.6)
  [λ=0.01 seed=1] step 1500 ep7 | loss +0.005 | orig 0.996 pruned 1.000 | pruned% h1= 61.6 (avg= 61.6)
  [λ=0.01 seed=1] step 1600 ep7 | loss +0.003 | orig 0.996 pruned 1.000 | pruned% h1= 63.0 (avg= 63.0)
  [λ=0.01 seed=1] step 1700 ep8 | loss +0.001 | orig 0.996 pruned 0.992 | pruned% h1= 63.5 (avg= 63.5)
  [λ=0.01 seed=1] step 1800 ep8 | loss +0.010 | orig 0.996 pruned 0.992 | pruned% h1= 64.1 (avg= 64.1)
  [λ=0.01 seed=1] step 1900 ep9 | loss +0.009 | orig 1.000 pruned 1.000 | pruned% h1= 64.3 (avg= 64.3)
  [λ=0.01 seed=1] step 2000 ep9 | loss +0.009 | orig 0.996 pruned 0.992 | pruned% h1= 65.2 (avg= 65.2)
  [λ=0.01 seed=1] step 2100 ep9 | loss -0.007 | orig 0.988 pruned 0.996 | pruned% h1= 64.8 (avg= 64.8)
  [λ=0.01 seed=1] step 2200 ep10 | loss +0.008 | orig 0.996 pruned 0.996 | pruned% h1= 66.0 (avg= 66.0)
  [λ=0.01 seed=1] step 2300 ep10 | loss -0.008 | orig 0.988 pruned 1.000 | pruned% h1= 66.0 (avg= 66.0)
  [λ=0.01 seed=1] step 2400 ep11 | loss +0.000 | orig 0.988 pruned 0.996 | pruned% h1= 66.0 (avg= 66.0)
  [λ=0.01 seed=1] step 2500 ep11 | loss +0.004 | orig 0.996 pruned 1.000 | pruned% h1= 66.4 (avg= 66.4)
  [λ=0.01 seed=1] step 2600 ep12 | loss +0.015 | orig 1.000 pruned 1.000 | pruned% h1= 66.6 (avg= 66.6)
  [λ=0.01 seed=1] step 2700 ep12 | loss +0.007 | orig 0.996 pruned 1.000 | pruned% h1= 67.5 (avg= 67.5)
  [λ=0.01 seed=1] step 2800 ep12 | loss +0.014 | orig 1.000 pruned 1.000 | pruned% h1= 67.0 (avg= 67.0)
  [λ=0.01 seed=1] step 2900 ep13 | loss -0.004 | orig 0.992 pruned 0.996 | pruned% h1= 67.6 (avg= 67.6)
  [λ=0.01 seed=1] step 3000 ep13 | loss +0.015 | orig 1.000 pruned 1.000 | pruned% h1= 67.5 (avg= 67.5)
  [λ=0.01 seed=1] step 3100 ep14 | loss +0.020 | orig 1.000 pruned 0.992 | pruned% h1= 68.2 (avg= 68.2)
  [λ=0.01 seed=1] step 3200 ep14 | loss +0.005 | orig 0.996 pruned 1.000 | pruned% h1= 68.3 (avg= 68.3)
  [λ=0.01 seed=1] step 3300 ep15 | loss +0.014 | orig 1.000 pruned 0.996 | pruned% h1= 68.7 (avg= 68.7)
  [λ=0.01 seed=1] step 3400 ep15 | loss +0.021 | orig 1.000 pruned 0.992 | pruned% h1= 68.9 (avg= 68.9)
  [λ=0.01 seed=1] step 3500 ep15 | loss +0.006 | orig 0.992 pruned 1.000 | pruned% h1= 68.9 (avg= 68.9)
  → [λ=0.01 seed=1] final keep 0.309  pruned 69.14%  | per-layer kept [632]/[2048]  | orig→pruned test acc 98.16→98.30%  | 59s

── λ=0.01 seed=2 ── pruner params: 415,746
  [λ=0.01 seed=2] step  100 ep1 | loss +0.008 | orig 1.000 pruned 1.000 | pruned% h1= 11.4 (avg= 11.4)
  [λ=0.01 seed=2] step  200 ep1 | loss +0.012 | orig 1.000 pruned 1.000 | pruned% h1= 27.1 (avg= 27.1)
  [λ=0.01 seed=2] step  300 ep2 | loss +0.015 | orig 1.000 pruned 0.996 | pruned% h1= 38.1 (avg= 38.1)
