lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,val_orig_ce,val_pruned_ce,val_delta,gap
0.05,0,200,0.001,pre_decay,0.9760827291756868,2.3917270824313164,0.0,0.0,False,1.478545524201195,1.1520377279035825,0.3265077962976124,1.599616930312556,1.1644079833399525,0.4352089469726035,-0.10870115067499109
0.05,0,400,0.001,pre_decay,0.9629757907241583,3.7024209275841713,1.310693845152855,8.511996269226074,False,1.478545524201195,1.1447921590015535,0.3337533651996414,1.599616930312556,1.1584612727409154,0.44115565757164066,-0.10740229237199928
0.05,0,600,0.001,pre_decay,0.9567416869103909,4.325831308960915,0.6234103813767433,5.505084991455078,False,1.478545524201195,1.1444143042436055,0.33413121995758943,1.599616930312556,1.1561138647964255,0.4435030655161305,-0.10937184555854107
0.05,0,800,0.001,pre_decay,0.947583569213748,5.241643078625202,0.9158117696642876,6.622457504272461,False,1.478545524201195,1.1377610071517916,0.34078451704940327,1.599616930312556,1.1405374588582422,0.4590794714543138,-0.11829495440491056
0.05,0,1000,0.001,pre_decay,0.942101763561368,5.789823643863201,0.548180565237999,3.924417495727539,False,1.478545524201195,1.137964858153446,0.34058066604774884,1.599616930312556,1.1400988781430226,0.45951805216953345,-0.11893738612178462
0.05,0,1200,0.001,pre_decay,0.9340990576893091,6.590094231069088,0.8002705872058868,8.548331260681152,False,1.478545524201195,1.1366162348742326,0.3419292893269623,1.599616930312556,1.1468558728951044,0.45276105741745165,-0.11083176809048934
0.05,0,1400,0.001,pre_decay,0.9369492586702108,6.305074132978916,-0.2850200980901718,11.210030317306519,False,1.478545524201195,1.1351090741247627,0.3434364500764322,1.599616930312556,1.1374468854021533,0.4621700449104027,-0.1187335948339705
0.05,0,1600,0.001,pre_decay,0.9350500721484423,6.494992785155773,0.189918652176857,8.511990308761597,False,1.478545524201195,1.1348317928438134,0.3437137313573815,1.599616930312556,1.135694968607715,0.4639219617048411,-0.12020823034745964
0.05,0,1800,0.001,pre_decay,0.92980389110744,7.0196108892560005,0.5246181041002274,9.829211235046387,False,1.478545524201195,1.1344517374577423,0.3440937867434526,1.599616930312556,1.1393932456835565,0.46022368462899954,-0.11612989788554695
0.05,0,2000,0.001,pre_decay,0.9294717460870743,7.052825391292572,0.0332145020365715,11.491638422012329,False,1.478545524201195,1.1403722983976092,0.33817322580358566,1.599616930312556,1.1429560525616864,0.4566608777508696,-0.11848765194728395
0.05,0,2200,0.001,pre_decay,0.9261048715561628,7.389512844383717,0.33668745309114456,9.320497512817383,False,1.478545524201195,1.1324225025573416,0.34612302164385333,1.599616930312556,1.1406497818720664,0.4589671484404896,-0.11284412679663625
0.05,0,2400,0.001,pre_decay,0.918414443731308,8.158555626869202,0.7690427824854851,9.811043739318848,False,1.478545524201195,1.1351153212817437,0.34343020291945114,1.599616930312556,1.1373871584745523,0.46222977183800373,-0.11879956891855259
0.05,0,2600,0.001,pre_decay,0.9206088725477457,7.9391127452254295,-0.21944288164377213,7.57630467414856,False,1.478545524201195,1.1287234148872913,0.34982210931390356,1.599616930312556,1.1349648066720324,0.46465212364052366,-0.1148300143266201
0.05,0,2800,0.001,pre_decay,0.9166288170963526,8.337118290364742,0.39800554513931274,10.465115308761597,False,1.478545524201195,1.1274971121617177,0.35104841203947723,1.599616930312556,1.1361037459089538,0.46351318440360223,-0.112464772364125
0.05,0,3000,0.001,pre_decay,0.9231269266456366,7.687307335436344,-0.6498109549283981,11.609739065170288,False,1.478545524201195,1.1350346695000566,0.3435108547011383,1.599616930312556,1.1321250437007058,0.46749188661185026,-0.12398103191071197
0.05,0,3200,0.001,pre_decay,0.9151810053735971,8.481899462640285,0.7945921272039413,9.901893138885498,False,1.478545524201195,1.125683369182939,0.3528621550182558,1.599616930312556,1.1255998379471406,0.47401709236541545,-0.12115493734715965
0.05,0,3400,0.001,pre_decay,0.9086828902363777,9.131710976362228,0.6498115137219429,10.383355617523193,False,1.478545524201195,1.1342693974446467,0.3442761267565482,1.599616930312556,1.1292217715961792,0.4703951587163768,-0.12611903195982865
0.05,0,3600,0.001,pre_decay,0.906241474673152,9.375852532684803,0.24414155632257462,9.729284048080444,False,1.478545524201195,1.125468200910815,0.3530773232903799,1.599616930312556,1.1316183411394474,0.46799858917310866,-0.11492126588272877
0.05,0,3800,0.001,pre_decay,0.9092194326221943,9.078056737780571,-0.297795794904232,14.353197813034058,False,1.478545524201195,1.1281637159145503,0.35038180828664456,1.599616930312556,1.131830723111996,0.4677862072005601,-0.11740439891391552
0.05,0,4000,0.001,pre_decay,0.9093017503619194,9.06982496380806,-0.008231773972511292,9.484010934829712,False,1.478545524201195,1.1314356841604887,0.3471098400407062,1.599616930312556,1.1303405440583023,0.4692763862542537,-0.1221665462135475
0.05,0,4200,0.001,pre_decay,0.9100824370980263,8.991756290197372,-0.07806867361068726,9.447669982910156,False,1.478545524201195,1.1292056098489576,0.3493399143522373,1.599616930312556,1.128315398962385,0.47130153135017094,-0.12196161699793362
0.05,0,4400,0.001,pre_decay,0.9065679516643286,9.343204833567142,0.35144854336977005,13.035976886749268,False,1.478545524201195,1.1306903848644763,0.34785513933671863,1.599616930312556,1.1298016355780216,0.4698152947345344,-0.1219601553978158
