lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_acc,train_pruned_acc,train_delta,test_orig_acc,test_pruned_acc,test_delta,gap
0.01,0,200,0.001,pre_decay,0.92296795360744,7.7032046392560005,0.0,0.0,False,69.5,70.5,1.0,63.5,64.0,0.5,0.5
0.01,0,400,0.001,pre_decay,0.7582553587853909,24.174464121460915,16.471259482204914,61.43713593482971,False,69.5,70.5,1.0,63.5,66.0,2.5,-1.5
0.01,0,600,0.001,pre_decay,0.7268179943785071,27.318200562149286,3.1437364406883717,22.102105617523193,False,69.5,73.5,4.0,63.5,64.5,1.0,3.0
0.01,0,800,0.001,pre_decay,0.7223893962800503,27.761060371994972,0.44285980984568596,10.628628730773926,False,69.5,72.0,2.5,63.5,70.5,7.0,-4.5
0.01,0,1000,0.001,pre_decay,0.7257505906745791,27.424940932542086,-0.3361194394528866,9.811046719551086,False,69.5,80.5,11.0,63.5,64.5,1.0,10.0
0.01,0,1200,0.001,pre_decay,0.7114513274282217,28.85486725717783,1.429926324635744,15.161702036857605,False,69.5,81.5,12.0,63.5,69.0,5.5,6.5
0.01,0,1400,0.001,pre_decay,0.7132341228425503,28.676587715744972,-0.1782795414328575,11.019259691238403,False,69.5,82.5,13.0,63.5,71.5,8.0,5.0
0.01,0,1600,0.001,pre_decay,0.6838208511471748,31.617914885282516,2.9413271695375443,15.198040008544922,False,69.5,81.5,12.0,63.5,68.5,5.0,7.0
0.01,0,1800,0.001,pre_decay,0.693688677623868,30.6311322376132,-0.9867826476693153,9.620276093482971,False,69.5,84.0,14.5,63.5,71.0,7.5,7.0
0.01,0,2000,0.001,pre_decay,0.6841586781665683,31.584132183343172,0.9529999457299709,12.518173456192017,False,69.5,82.0,12.5,63.5,72.0,8.5,4.0
0.01,0,2200,0.001,pre_decay,0.68504155613482,31.495844386518,-0.08828779682517052,6.967657804489136,False,69.5,83.5,14.0,63.5,74.0,10.5,3.5
0.01,0,2400,0.001,pre_decay,0.696953353472054,30.3046646527946,-1.191179733723402,9.611189365386963,False,69.5,83.0,13.5,63.5,74.5,11.0,2.5
0.01,0,2600,0.001,pre_decay,0.6868868041783571,31.311319582164288,1.006654929369688,17.46002733707428,False,69.5,85.5,16.0,63.5,74.0,10.5,5.5
0.01,0,2800,0.001,pre_decay,0.6805050875991583,31.94949124008417,0.6381716579198837,9.211480617523193,False,69.5,83.5,14.0,63.5,73.5,10.0,4.0
0.01,0,3000,0.001,pre_decay,0.6792304394766688,32.07695605233312,0.12746481224894524,13.581031560897827,False,69.5,86.5,17.0,63.5,73.0,9.5,7.5
0.01,0,3200,0.001,pre_decay,0.7018162915483117,29.81837084516883,-2.2585852071642876,9.874635934829712,False,69.5,84.5,15.0,63.5,74.0,10.5,4.5
0.01,0,3400,0.001,pre_decay,0.6907902164384723,30.920978356152773,1.102607510983944,9.692952036857605,False,69.5,85.0,15.5,63.5,74.0,10.5,5.0
0.01,0,3600,0.001,pre_decay,0.69225506298244,30.774493701756,-0.14648465439677238,8.221292495727539,False,69.5,89.0,19.5,63.5,74.0,10.5,9.0
0.01,0,3800,0.001,pre_decay,0.6734477169811726,32.655228301882744,1.8807346001267433,9.166061878204346,False,69.5,83.0,13.5,63.5,74.5,11.0,2.5
0.01,0,4000,0.001,pre_decay,0.6815213914960623,31.847860850393772,-0.8073674514889717,9.066134691238403,False,69.5,84.0,14.5,63.5,75.5,12.0,2.5
0.01,0,4200,0.001,pre_decay,0.6946396948769689,30.536030512303114,-1.3118303380906582,6.649711728096008,False,69.5,83.5,14.0,63.5,72.5,9.0,5.0
0.01,0,4400,0.001,pre_decay,0.7014727871865034,29.85272128134966,-0.683309230953455,6.704211235046387,False,69.5,81.5,12.0,63.5,77.5,14.0,-2.0
0.01,0,4600,0.001,pre_decay,0.6967092100530863,30.329078994691372,0.47635771334171295,4.387718439102173,False,69.5,82.0,12.5,63.5,76.0,12.5,0.0
