lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,val_orig_ce,val_pruned_ce,val_delta,gap
1.6,0,200,0.001,pre_decay,0.4288557185791433,57.11442814208567,0.0,0.0,False,1.3858444767755789,1.3435106104257535,0.04233386634982539,1.3774009860025909,1.337014409406724,0.04038657659586686,0.0019472897539585254
1.6,0,400,0.001,pre_decay,0.33755847811698914,66.24415218830109,9.129724046215415,48.67368936538696,False,1.3858444767755789,1.3137376522589586,0.07210682451662032,1.3774009860025909,1.289342911300545,0.08805807470204585,-0.015951250185425536
1.6,0,600,0.001,pre_decay,0.28000942419748753,71.99905758025125,5.75490539195016,46.911340951919556,False,1.3858444767755789,1.3333140021690646,0.05253047460651428,1.3774009860025909,1.3106579611713658,0.06674302483122507,-0.014212550224710796
1.6,0,800,0.001,pre_decay,0.26125601842068136,73.87439815793186,1.8753405776806176,16.188228130340576,False,1.3858444767755789,1.2904264424606375,0.09541803431494134,1.3774009860025909,1.2914924259425815,0.08590856006000935,0.009509474254931982
1.6,0,1000,0.001,pre_decay,0.2363451572600752,76.36548427399248,2.4910861160606146,13.980740308761597,False,1.3858444767755789,1.3062332397449516,0.07961123703062722,1.3774009860025909,1.29127161805992,0.0861293679426709,-0.006518130912043674
1.6,0,1200,0.001,pre_decay,0.24930164229590446,75.06983577040955,-1.2956485035829246,17.759811878204346,False,1.3858444767755789,1.2461994612309326,0.13964501554464626,1.3774009860025909,1.2548937117625139,0.12250727424007701,0.017137741304569243
1.6,0,1400,0.001,pre_decay,0.24919944489374757,75.08005551062524,0.010219740215688944,17.72347390651703,False,1.3858444767755789,1.2666342329836178,0.1192102437919611,1.3774009860025909,1.2616075722021078,0.11579341380048302,0.0034168299914780764
1.6,0,1600,0.001,pre_decay,0.22648017446044832,77.35198255395517,2.2719270433299243,21.7205673456192,False,1.3858444767755789,1.283378825258226,0.10246565151735276,1.3774009860025909,1.2761372777627793,0.10126370823981157,0.0012019432775411953
1.6,0,1800,0.001,pre_decay,0.22125953587237746,77.87404641276225,0.522063858807087,9.456759691238403,False,1.3858444767755789,1.2482985661415282,0.13754591063405064,1.3774009860025909,1.2542948996436274,0.12310608635896347,0.014439824275087165
1.6,0,2000,0.001,pre_decay,0.21471884124912322,78.52811587508768,0.654069462325424,6.776890158653259,False,1.3858444767755789,1.2667114874056082,0.11913298936997063,1.3774009860025909,1.2740429359973369,0.103358050005254,0.015774939364716634
1.6,0,2200,0.001,pre_decay,0.21258970722556114,78.74102927744389,0.21291340235620737,10.80123484134674,False,1.3858444767755789,1.2589211102815194,0.12692336649405944,1.3774009860025909,1.259064439773381,0.11833654622920986,0.008586820264849582
1.6,0,2400,0.001,pre_decay,0.2106678099371493,78.93321900628507,0.19218972884118557,6.222745776176453,False,1.3858444767755789,1.2411419813294526,0.14470249544612623,1.3774009860025909,1.2580349559890118,0.11936603001357904,0.025336465432547195
