model,lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
gpt2,0.05,0,200,0.9696994572877884,3.030054271221161,0.0,0.0,False,2.6171306950223094,2.4408585687797473,0.17627212624256217,3.3292281599854867,3.079427207440633,0.24980095254485368,-0.07352882630229152
gpt2,0.05,0,400,0.9592556605736414,4.074433942635858,1.0443796714146973,4.557293653488159,False,2.6171306950223094,2.438010448679814,0.17912024634249546,3.3292281599854867,3.098222750707036,0.2310054092784508,-0.05188516293595535
gpt2,0.05,0,500,0.9519585818052292,4.804141819477081,0.7297078768412231,2.4088501930236816,True,2.6171306950223094,2.448898779475433,0.16823191554687655,3.3292281599854867,3.099468711195055,0.22975944879043153,-0.06152753324355498
gpt2,0.3,0,200,0.886962910493215,11.303708950678503,0.0,0.0,False,2.6171306950223094,2.5186839331702977,0.09844676185201173,3.3292281599854867,3.184425464951827,0.14480269503365983,-0.0463559331816481
gpt2,0.3,0,400,0.8536784201860428,14.632157981395721,3.328449030717218,7.877600193023682,False,2.6171306950223094,2.515117486354511,0.1020132086677985,3.3292281599854867,3.1806899230645516,0.14853823692093515,-0.04652502825313665
gpt2,0.3,0,600,0.8590494990348816,14.09505009651184,-0.5371078848838806,9.63541865348816,False,2.6171306950223094,2.5301643268149214,0.08696636820738801,3.3292281599854867,3.212214006328848,0.1170141536566387,-0.030047785449250686
gpt2,0.3,0,650,0.8488227128982544,15.11772871017456,1.0226786136627197,12.40234375,True,2.6171306950223094,2.5151033367227824,0.10202735829952703,3.3292281599854867,3.2042926802902514,0.12493547969523533,-0.022908121395708303
gpt2,0.8,0,200,0.686659092704455,31.334090729554497,0.0,0.0,False,2.6171306950223094,2.715715612346438,-0.09858491732412844,3.3292281599854867,3.4080116701840417,-0.078783510198555,-0.019801407125573434
gpt2,0.8,0,400,0.6414930745959282,35.85069254040718,4.516601810852684,15.8203125,False,2.6171306950223094,2.853229138063844,-0.2360984430415347,3.3292281599854867,3.496810240107428,-0.16758208012194142,-0.06851636291959329
gpt2,0.8,0,600,0.6082628220319748,39.17371779680252,3.32302525639534,19.98697519302368,False,2.6171306950223094,2.7916522452768278,-0.17452155025451832,3.3292281599854867,3.5300927535970534,-0.20086459361156672,0.0263430433570484
gpt2,0.8,0,800,0.6034885222713152,39.65114777286848,0.47742997606595594,24.54427480697632,False,2.6171306950223094,2.877808953998599,-0.2606782589762897,3.3292281599854867,3.6197996848025187,-0.29057152481703197,0.029893265840742256
