model,lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
gpt2,0.05,0,200,0.9796549628178278,2.0345037182172176,0.0,0.0,False,2.6171306950223094,2.4249422929223012,0.1921884021000082,3.3292281599854867,3.075822159672678,0.2534060003128089,-0.061217598212800706
gpt2,0.05,0,400,0.9619954725106558,3.800452748934424,1.7659490307172065,4.296875,False,2.6171306950223094,2.443941492143041,0.1731892028792683,3.3292281599854867,3.0808116629823745,0.2484164970031122,-0.07522729412384388
gpt2,0.05,0,500,0.9602322230736414,3.976777692635858,0.1763249437014336,2.44140625,True,2.6171306950223094,2.4383122039443506,0.17881849107795889,3.3292281599854867,3.087444263514634,0.24178389647085252,-0.06296540539289364
gpt2,0.3,0,200,0.9230685979127884,7.693140208721161,0.0,0.0,False,2.6171306950223094,2.5006934374927887,0.11643725752952072,3.3292281599854867,3.154347121342413,0.1748810386430737,-0.05844378111355297
gpt2,0.3,0,400,0.8662380874156952,13.376191258430481,5.68305104970932,19.23828125,False,2.6171306950223094,2.5148372922831266,0.10229340273918286,3.3292281599854867,3.1939934376070562,0.13523472237843048,-0.032941319639247624
gpt2,0.3,0,600,0.858262817064921,14.173718293507898,0.7975270350774171,3.8736939430236816,False,2.6171306950223094,2.547583791119506,0.0695469039028036,3.3292281599854867,3.2040742733122864,0.12515388667320027,-0.05560698277039666
gpt2,0.3,0,650,0.8423936814069748,15.76063185930252,1.5869135657946227,7.877606153488159,True,2.6171306950223094,2.5331513498155553,0.0839793452067541,3.3292281599854867,3.232816174592077,0.09641198539340978,-0.012432640186655686
gpt2,0.8,0,200,0.744439035654068,25.5560964345932,0.0,0.0,False,2.6171306950223094,2.6382851844816324,-0.021154489459322967,3.3292281599854867,3.3735262976162157,-0.044298137630728984,0.023143648171406017
gpt2,0.8,0,400,0.6571723272403082,34.282767275969185,8.726670841375984,21.84244990348816,False,2.6171306950223094,2.7284145680648635,-0.11128387304255405,3.3292281599854867,3.4345457223837927,-0.10531756239830603,-0.0059663106442480185
gpt2,0.8,0,600,0.6386990224321684,36.130097756783165,1.84733048081398,7.454425096511841,False,2.6171306950223094,2.8804440441917243,-0.26331334916941485,3.3292281599854867,3.58479815731168,-0.2555699973261931,-0.007743351843221724
gpt2,0.8,0,800,0.6110026265184084,38.89973734815916,2.7696395913759915,22.36328125,True,2.6171306950223094,2.7381380870749052,-0.12100739205259581,3.3292281599854867,3.494962160166589,-0.1657340001811023,0.044726608128506484
gpt2,1.6,0,200,0.4945475421845913,50.54524578154087,0.0,0.0,False,2.6171306950223094,3.129473609846495,-0.5123429148241856,3.3292281599854867,3.8473155697349712,-0.5180874097494845,0.0057444949252989375
gpt2,1.6,0,400,0.3729112508396308,62.70887491603692,12.163629134496048,25.09765923023224,False,2.6171306950223094,3.1464362458664503,-0.5293055508441409,3.3292281599854867,3.915337136374533,-0.5861089763890464,0.05680342554490547
gpt2,1.6,0,600,0.3610568692286809,63.89431307713191,1.185438161094993,4.75260317325592,False,2.6171306950223094,3.1685610009912524,-0.5514303059689429,3.3292281599854867,3.909333080193403,-0.5801049202079165,0.02867461423897355
gpt2,1.6,0,800,0.3259819994370143,67.40180005629857,3.507486979166657,8.0078125,False,2.6171306950223094,3.2710899467642216,-0.6539592517419122,3.3292281599854867,3.9950653260444513,-0.6658371660589646,0.01187791431705243
gpt2,1.6,0,1000,0.3120931126177311,68.79068873822689,1.3888886819283215,6.282550096511841,False,2.6171306950223094,3.3434917438115836,-0.7263610487892742,3.3292281599854867,4.030012388487249,-0.700784228501762,-0.02557682028751218
gpt2,1.6,0,1200,0.3473036090532939,65.26963909467061,-3.5210496435562817,9.34244692325592,False,2.6171306950223094,3.1434232631719894,-0.52629256814968,3.3292281599854867,4.001902523192218,-0.6726743632067311,0.14638179505705118
gpt2,1.6,0,1400,0.3495280121763547,65.04719878236453,-0.22244031230607675,7.06380307674408,False,2.6171306950223094,3.230384588770877,-0.6132538937485674,3.3292281599854867,3.9482843330038597,-0.619056173018373,0.005802279269805588
gpt2,1.6,0,1550,0.3204481427868207,67.95518572131793,2.9079869389533997,8.10546875,True,2.6171306950223094,3.230248512216834,-0.6131178171945244,3.3292281599854867,3.9983745828128154,-0.6691464228273287,0.05602860563280432
opt125m,0.05,0,200,0.9600965976715088,3.990340232849121,0.0,0.0,False,2.4598153548926462,2.4855318036507903,-0.02571644875814405,2.9102497330431762,2.949872608492285,-0.03962287544910881,0.013906426690964757
opt125m,0.05,0,400,0.9298502852519354,7.0149714748064635,3.0246312419573425,19.56380009651184,False,2.4598153548926462,2.470807637869638,-0.010992282976991952,2.9102497330431762,2.932105067863534,-0.02185533482035762,0.010863051843365668
opt125m,0.05,0,600,0.8990071813265482,10.099281867345178,3.0843103925387148,15.657556056976318,False,2.4598153548926462,2.492139569692448,-0.032324214799801965,2.9102497330431762,2.9569752409462025,-0.04672550790302621,0.014401293103224244
opt125m,0.05,0,800,0.8668619990348816,13.31380009651184,3.2145182291666625,20.44270634651184,False,2.4598153548926462,2.499073440188057,-0.03925808529541097,2.9102497330431762,2.98395739125453,-0.07370765821135361,0.03444957291594264
opt125m,0.05,0,1000,0.8624674702684084,13.753252973159158,0.4394528766473176,6.673175096511841,False,2.4598153548926462,2.503072154639008,-0.04325679974636154,2.9102497330431762,2.9705298012591723,-0.060280068215996074,0.017023268469634534
opt125m,0.05,0,1200,0.8474663818875948,15.253361811240518,1.5001088380813599,4.4921875,False,2.4598153548926462,2.503700994830596,-0.043885639937949694,2.9102497330431762,2.970358130249916,-0.06010839720673955,0.016222757268789856
opt125m,0.05,0,1300,0.8385145540038744,16.148544599612556,0.895182788372038,4.361981153488159,True,2.4598153548926462,2.4920445099842854,-0.03222915509163915,2.9102497330431762,2.960880411484496,-0.050630678441319965,0.018401523349680815
opt125m,0.3,0,200,0.7840983221928278,21.590167780717216,0.0,0.0,False,2.4598153548926462,2.5255311075316738,-0.06571575263902751,2.9102497330431762,3.025083758911659,-0.11483402586848257,0.049118273229455056
opt125m,0.3,0,400,0.6836751475930214,31.63248524069786,10.042317459980644,19.40104365348816,False,2.4598153548926462,2.5424999522911067,-0.08268459739846046,2.9102497330431762,3.074950408505431,-0.16470067546225486,0.0820160780637944
opt125m,0.3,0,600,0.6668023144205412,33.319768557945885,1.6872833172480242,9.53775942325592,False,2.4598153548926462,2.5772721121584374,-0.11745675726579119,2.9102497330431762,3.1161055750039943,-0.20585584196081808,0.08839908469502689
opt125m,0.3,0,800,0.6547037934263548,34.529620657364525,1.2098520994186401,11.16536259651184,False,2.4598153548926462,2.5666486600291316,-0.10683330513648537,2.9102497330431762,3.108570939366938,-0.1983212063237616,0.09148790118727623
opt125m,0.3,0,850,0.6766764496763548,32.332355032364525,-2.197265625,14.74609375,True,2.4598153548926462,2.552984881099218,-0.0931695262065717,2.9102497330431762,3.0592762008734056,-0.14902646783022933,0.05585694162365762
opt125m,0.8,0,200,0.5817328679064909,41.826713209350906,0.0,0.0,False,2.4598153548926462,2.633403166148345,-0.17358781125569855,2.9102497330431762,3.242255797021191,-0.3320060639780147,0.15841825272231613
opt125m,0.8,0,400,0.5059407651424408,49.40592348575592,7.579210276405014,15.72265625,False,2.4598153548926462,2.672616226434369,-0.2128008715417229,2.9102497330431762,3.302529645539772,-0.3922799124965959,0.179479040954873
opt125m,0.8,0,600,0.4932454538842042,50.67545461157958,1.2695311258236615,9.40755307674408,False,2.4598153548926462,2.6849644496161025,-0.22514909472345623,2.9102497330431762,3.3018709005514415,-0.39162116750826526,0.16647207278480902
opt125m,0.8,0,800,0.4710557845731576,52.89442154268424,2.21896693110466,7.845056056976318,False,2.4598153548926462,2.6819619669618886,-0.22214661206924236,2.9102497330431762,3.311398822757377,-0.4011490897142007,0.17900247764495836
opt125m,0.8,0,1000,0.4638671999176343,53.61328000823657,0.71885846555233,9.30989384651184,False,2.4598153548926462,2.694588111256091,-0.23477275636344475,2.9102497330431762,3.344037762713262,-0.4337880296700858,0.19901527330664104
opt125m,0.8,0,1100,0.4816623354951541,51.83376645048459,-1.779513557751983,16.14583134651184,True,2.4598153548926462,2.676857214212041,-0.2170418593193948,2.9102497330431762,3.286361324374429,-0.3761115913312527,0.15906973201185792
opt125m,1.6,0,200,0.3875054369370143,61.24945630629857,0.0,0.0,False,2.4598153548926462,2.899695403461597,-0.4398800485689507,2.9102497330431762,3.6148948822835174,-0.7046451492403412,0.2647651006713905
opt125m,1.6,0,400,0.3096788277228673,69.03211722771327,7.782660921414703,17.83854365348816,False,2.4598153548926462,2.9454844193224043,-0.4856690644297581,2.9102497330431762,3.6925121708134085,-0.7822624377702323,0.2965933733404742
